grouping,sort,section,units,grade,level_achieved,year,value
Pacific Islander,E6,Standardized_Scores,score,All,Approaches_or_Above,2015,76
Pacific Islander,E6,Standardized_Scores,score,All,Approaches_or_Above,2016,67
Pacific Islander,E6,Standardized_Scores,score,All,Approaches_or_Above,2017,79
Pacific Islander,E6,Standardized_Scores,score,All,Approaches_or_Above,2018,82
Pacific Islander,E6,Standardized_Scores,score,All,Approaches_or_Above,2019,76
Pacific Islander,E6,Standardized_Scores,score,All,Approaches_or_Above,2020,NA
Pacific Islander,E6,Standardized_Scores,score,All,Approaches_or_Above,2021,81
Pacific Islander,E6,Standardized_Scores,score,All,Approaches_or_Above,2022,74
2 or More Races,E7,Standardized_Scores,score,All,Approaches_or_Above,1995,50
2 or More Races,E7,Standardized_Scores,score,All,Approaches_or_Above,1996,70
2 or More Races,E7,Standardized_Scores,score,All,Approaches_or_Above,1997,84
2 or More Races,E7,Standardized_Scores,score,All,Approaches_or_Above,1998,78.8
2 or More Races,E7,Standardized_Scores,score,All,Approaches_or_Above,1999,81.1
2 or More Races,E7,Standardized_Scores,score,All,Approaches_or_Above,2000,89.5
2 or More Races,E7,Standardized_Scores,score,All,Approaches_or_Above,2001,94.7
2 or More Races,E7,Standardized_Scores,score,All,Approaches_or_Above,2002,96.7
2 or More Races,E7,Standardized_Scores,score,All,Approaches_or_Above,2003,77.5
2 or More Races,E7,Standardized_Scores,score,All,Approaches_or_Above,2004,81
2 or More Races,E7,Standardized_Scores,score,All,Approaches_or_Above,2005,81
2 or More Races,E7,Standardized_Scores,score,All,Approaches_or_Above,2006,84
2 or More Races,E7,Standardized_Scores,score,All,Approaches_or_Above,2007,82
2 or More Races,E7,Standardized_Scores,score,All,Approaches_or_Above,2008,84
2 or More Races,E7,Standardized_Scores,score,All,Approaches_or_Above,2009,85
2 or More Races,E7,Standardized_Scores,score,All,Approaches_or_Above,2010,89
2 or More Races,E7,Standardized_Scores,score,All,Approaches_or_Above,2011,86
2 or More Races,E7,Standardized_Scores,score,All,Approaches_or_Above,2012,86
2 or More Races,E7,Standardized_Scores,score,All,Approaches_or_Above,2013,88
2 or More Races,E7,Standardized_Scores,score,All,Approaches_or_Above,2014,87
2 or More Races,E7,Standardized_Scores,score,All,Approaches_or_Above,2015,89
2 or More Races,E7,Standardized_Scores,score,All,Approaches_or_Above,2016,87
2 or More Races,E7,Standardized_Scores,score,All,Approaches_or_Above,2017,86
2 or More Races,E7,Standardized_Scores,score,All,Approaches_or_Above,2018,88
2 or More Races,E7,Standardized_Scores,score,All,Approaches_or_Above,2019,85
2 or More Races,E7,Standardized_Scores,score,All,Approaches_or_Above,2020,NA
2 or More Races,E7,Standardized_Scores,score,All,Approaches_or_Above,2021,82
2 or More Races,E7,Standardized_Scores,score,All,Approaches_or_Above,2022,83
Economically Disadvantaged,O1,Standardized_Scores,score,All,Approaches_or_Above,1995,47
Economically Disadvantaged,O1,Standardized_Scores,score,All,Approaches_or_Above,1996,52.5
Economically Disadvantaged,O1,Standardized_Scores,score,All,Approaches_or_Above,1997,59.9
Economically Disadvantaged,O1,Standardized_Scores,score,All,Approaches_or_Above,1998,67.9
Economically Disadvantaged,O1,Standardized_Scores,score,All,Approaches_or_Above,1999,64.4
Economically Disadvantaged,O1,Standardized_Scores,score,All,Approaches_or_Above,2000,69.5
Economically Disadvantaged,O1,Standardized_Scores,score,All,Approaches_or_Above,2001,76.2
Economically Disadvantaged,O1,Standardized_Scores,score,All,Approaches_or_Above,2002,82
Economically Disadvantaged,O1,Standardized_Scores,score,All,Approaches_or_Above,2003,59.8
Economically Disadvantaged,O1,Standardized_Scores,score,All,Approaches_or_Above,2004,65
Economically Disadvantaged,O1,Standardized_Scores,score,All,Approaches_or_Above,2005,56
Economically Disadvantaged,O1,Standardized_Scores,score,All,Approaches_or_Above,2006,67
Economically Disadvantaged,O1,Standardized_Scores,score,All,Approaches_or_Above,2007,67
Economically Disadvantaged,O1,Standardized_Scores,score,All,Approaches_or_Above,2008,67
Economically Disadvantaged,O1,Standardized_Scores,score,All,Approaches_or_Above,2009,70
Economically Disadvantaged,O1,Standardized_Scores,score,All,Approaches_or_Above,2010,71
Economically Disadvantaged,O1,Standardized_Scores,score,All,Approaches_or_Above,2011,72
Economically Disadvantaged,O1,Standardized_Scores,score,All,Approaches_or_Above,2012,74
Economically Disadvantaged,O1,Standardized_Scores,score,All,Approaches_or_Above,2013,74
Economically Disadvantaged,O1,Standardized_Scores,score,All,Approaches_or_Above,2014,75
Economically Disadvantaged,O1,Standardized_Scores,score,All,Approaches_or_Above,2015,74
Economically Disadvantaged,O1,Standardized_Scores,score,All,Approaches_or_Above,2016,73
Economically Disadvantaged,O1,Standardized_Scores,score,All,Approaches_or_Above,2017,76
Economically Disadvantaged,O1,Standardized_Scores,score,All,Approaches_or_Above,2018,75
Economically Disadvantaged,O1,Standardized_Scores,score,All,Approaches_or_Above,2019,74
Economically Disadvantaged,O1,Standardized_Scores,score,All,Approaches_or_Above,2020,NA
Economically Disadvantaged,O1,Standardized_Scores,score,All,Approaches_or_Above,2021,67
Economically Disadvantaged,O1,Standardized_Scores,score,All,Approaches_or_Above,2022,70
SDAA Met ARD,O2,Standardized_Scores,score,All,Approaches_or_Above,1995,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Approaches_or_Above,1996,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Approaches_or_Above,1997,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Approaches_or_Above,1998,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Approaches_or_Above,1999,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Approaches_or_Above,2000,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Approaches_or_Above,2001,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Approaches_or_Above,2002,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Approaches_or_Above,2003,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Approaches_or_Above,2004,82
SDAA Met ARD,O2,Standardized_Scores,score,All,Approaches_or_Above,2005,73
SDAA Met ARD,O2,Standardized_Scores,score,All,Approaches_or_Above,2006,73
SDAA Met ARD,O2,Standardized_Scores,score,All,Approaches_or_Above,2007,75
SDAA Met ARD,O2,Standardized_Scores,score,All,Approaches_or_Above,2008,95
SDAA Met ARD,O2,Standardized_Scores,score,All,Approaches_or_Above,2009,91
SDAA Met ARD,O2,Standardized_Scores,score,All,Approaches_or_Above,2010,95
SDAA Met ARD,O2,Standardized_Scores,score,All,Approaches_or_Above,2011,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Approaches_or_Above,2012,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Approaches_or_Above,2013,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Approaches_or_Above,2014,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Approaches_or_Above,2015,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Approaches_or_Above,2016,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Approaches_or_Above,2017,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Approaches_or_Above,2018,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Approaches_or_Above,2019,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Approaches_or_Above,2020,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Approaches_or_Above,2021,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Approaches_or_Above,2022,NA
All Subjects,SUBJ1,Standardized_Scores,score,All,Failing,1995,24.33333333
All Subjects,SUBJ1,Standardized_Scores,score,All,Failing,1996,22.4
All Subjects,SUBJ1,Standardized_Scores,score,All,Failing,1997,16.3
All Subjects,SUBJ1,Standardized_Scores,score,All,Failing,1998,14.56666667
All Subjects,SUBJ1,Standardized_Scores,score,All,Failing,1999,13.63333333
All Subjects,SUBJ1,Standardized_Scores,score,All,Failing,2000,10.63333333
All Subjects,SUBJ1,Standardized_Scores,score,All,Failing,2001,9.533333333
All Subjects,SUBJ1,Standardized_Scores,score,All,Failing,2002,6.7
All Subjects,SUBJ1,Standardized_Scores,score,All,Failing,2003,15.7
All Subjects,SUBJ1,Standardized_Scores,score,All,Failing,2004,10.2
All Subjects,SUBJ1,Standardized_Scores,score,All,Failing,2005,14.4
All Subjects,SUBJ1,Standardized_Scores,score,All,Failing,2006,11.4
All Subjects,SUBJ1,Standardized_Scores,score,All,Failing,2007,10.2
All Subjects,SUBJ1,Standardized_Scores,score,All,Failing,2008,9.8
All Subjects,SUBJ1,Standardized_Scores,score,All,Failing,2009,8.4
All Subjects,SUBJ1,Standardized_Scores,score,All,Failing,2010,8
All Subjects,SUBJ1,Standardized_Scores,score,All,Failing,2011,8.2
All Subjects,SUBJ1,Standardized_Scores,score,All,Failing,2012,16.8
All Subjects,SUBJ1,Standardized_Scores,score,All,Failing,2013,18
All Subjects,SUBJ1,Standardized_Scores,score,All,Failing,2014,16.6
All Subjects,SUBJ1,Standardized_Scores,score,All,Failing,2015,16.4
All Subjects,SUBJ1,Standardized_Scores,score,All,Failing,2016,17.8
All Subjects,SUBJ1,Standardized_Scores,score,All,Failing,2017,17.4
All Subjects,SUBJ1,Standardized_Scores,score,All,Failing,2018,16.6
All Subjects,SUBJ1,Standardized_Scores,score,All,Failing,2019,17.2
All Subjects,SUBJ1,Standardized_Scores,score,All,Failing,2020,NA
All Subjects,SUBJ1,Standardized_Scores,score,All,Failing,2021,22.2
All Subjects,SUBJ1,Standardized_Scores,score,All,Failing,2022,18.5
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Failing,1995,19.4
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Failing,1996,19.4
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Failing,1997,13.4
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Failing,1998,10.4
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Failing,1999,11.3
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Failing,2000,10.6
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Failing,2001,7.9
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Failing,2002,5.6
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Failing,2003,13.4
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Failing,2004,9
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Failing,2005,12
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Failing,2006,7
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Failing,2007,7
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Failing,2008,6
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Failing,2009,6
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Failing,2010,6
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Failing,2011,7
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Failing,2012,15
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Failing,2013,14
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Failing,2014,16
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Failing,2015,16
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Failing,2016,20
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Failing,2017,19
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Failing,2018,18
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Failing,2019,19
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Failing,2020,NA
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Failing,2021,23
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Failing,2022,21
Writing,SUBJ3,Standardized_Scores,score,All,Failing,1995,18.3
Writing,SUBJ3,Standardized_Scores,score,All,Failing,1996,19.8
Writing,SUBJ3,Standardized_Scores,score,All,Failing,1997,16.1
Writing,SUBJ3,Standardized_Scores,score,All,Failing,1998,19.1
Writing,SUBJ3,Standardized_Scores,score,All,Failing,1999,15.1
Writing,SUBJ3,Standardized_Scores,score,All,Failing,2000,12
Writing,SUBJ3,Standardized_Scores,score,All,Failing,2001,13.4
Writing,SUBJ3,Standardized_Scores,score,All,Failing,2002,9.7
Writing,SUBJ3,Standardized_Scores,score,All,Failing,2003,17.4
Writing,SUBJ3,Standardized_Scores,score,All,Failing,2004,5
Writing,SUBJ3,Standardized_Scores,score,All,Failing,2005,9
Writing,SUBJ3,Standardized_Scores,score,All,Failing,2006,8
Writing,SUBJ3,Standardized_Scores,score,All,Failing,2007,6
Writing,SUBJ3,Standardized_Scores,score,All,Failing,2008,6
Writing,SUBJ3,Standardized_Scores,score,All,Failing,2009,5
Writing,SUBJ3,Standardized_Scores,score,All,Failing,2010,7
Writing,SUBJ3,Standardized_Scores,score,All,Failing,2011,8
Writing,SUBJ3,Standardized_Scores,score,All,Failing,2012,27
Writing,SUBJ3,Standardized_Scores,score,All,Failing,2013,31
Writing,SUBJ3,Standardized_Scores,score,All,Failing,2014,24
Writing,SUBJ3,Standardized_Scores,score,All,Failing,2015,24
Writing,SUBJ3,Standardized_Scores,score,All,Failing,2016,27
Writing,SUBJ3,Standardized_Scores,score,All,Failing,2017,28
Writing,SUBJ3,Standardized_Scores,score,All,Failing,2018,27
Writing,SUBJ3,Standardized_Scores,score,All,Failing,2019,29
Writing,SUBJ3,Standardized_Scores,score,All,Failing,2020,NA
Writing,SUBJ3,Standardized_Scores,score,All,Failing,2021,37
Writing,SUBJ3,Standardized_Scores,score,All,Failing,2022,NA
Mathematics,SUBJ4,Standardized_Scores,score,All,Failing,1995,35.3
Mathematics,SUBJ4,Standardized_Scores,score,All,Failing,1996,28
Mathematics,SUBJ4,Standardized_Scores,score,All,Failing,1997,19.4
Mathematics,SUBJ4,Standardized_Scores,score,All,Failing,1998,14.2
Mathematics,SUBJ4,Standardized_Scores,score,All,Failing,1999,14.5
Mathematics,SUBJ4,Standardized_Scores,score,All,Failing,2000,9.3
Mathematics,SUBJ4,Standardized_Scores,score,All,Failing,2001,7.3
Mathematics,SUBJ4,Standardized_Scores,score,All,Failing,2002,4.8
Mathematics,SUBJ4,Standardized_Scores,score,All,Failing,2003,16.5
Mathematics,SUBJ4,Standardized_Scores,score,All,Failing,2004,15
Mathematics,SUBJ4,Standardized_Scores,score,All,Failing,2005,20
Mathematics,SUBJ4,Standardized_Scores,score,All,Failing,2006,17
Mathematics,SUBJ4,Standardized_Scores,score,All,Failing,2007,15
Mathematics,SUBJ4,Standardized_Scores,score,All,Failing,2008,13
Mathematics,SUBJ4,Standardized_Scores,score,All,Failing,2009,13
Mathematics,SUBJ4,Standardized_Scores,score,All,Failing,2010,12
Mathematics,SUBJ4,Standardized_Scores,score,All,Failing,2011,12
Mathematics,SUBJ4,Standardized_Scores,score,All,Failing,2012,15
Mathematics,SUBJ4,Standardized_Scores,score,All,Failing,2013,15
Mathematics,SUBJ4,Standardized_Scores,score,All,Failing,2014,16
Mathematics,SUBJ4,Standardized_Scores,score,All,Failing,2015,15
Mathematics,SUBJ4,Standardized_Scores,score,All,Failing,2016,16
Mathematics,SUBJ4,Standardized_Scores,score,All,Failing,2017,12
Mathematics,SUBJ4,Standardized_Scores,score,All,Failing,2018,12
Mathematics,SUBJ4,Standardized_Scores,score,All,Failing,2019,13
Mathematics,SUBJ4,Standardized_Scores,score,All,Failing,2020,NA
Mathematics,SUBJ4,Standardized_Scores,score,All,Failing,2021,21
Mathematics,SUBJ4,Standardized_Scores,score,All,Failing,2022,22
Science,SUBJ5,Standardized_Scores,score,All,Failing,1995,NA
Science,SUBJ5,Standardized_Scores,score,All,Failing,1996,NA
Science,SUBJ5,Standardized_Scores,score,All,Failing,1997,NA
Science,SUBJ5,Standardized_Scores,score,All,Failing,1998,NA
Science,SUBJ5,Standardized_Scores,score,All,Failing,1999,NA
Science,SUBJ5,Standardized_Scores,score,All,Failing,2000,NA
Science,SUBJ5,Standardized_Scores,score,All,Failing,2001,NA
Science,SUBJ5,Standardized_Scores,score,All,Failing,2002,NA
Science,SUBJ5,Standardized_Scores,score,All,Failing,2003,24.2
Science,SUBJ5,Standardized_Scores,score,All,Failing,2004,17
Science,SUBJ5,Standardized_Scores,score,All,Failing,2005,23
Science,SUBJ5,Standardized_Scores,score,All,Failing,2006,17
Science,SUBJ5,Standardized_Scores,score,All,Failing,2007,18
Science,SUBJ5,Standardized_Scores,score,All,Failing,2008,18
Science,SUBJ5,Standardized_Scores,score,All,Failing,2009,14
Science,SUBJ5,Standardized_Scores,score,All,Failing,2010,12
Science,SUBJ5,Standardized_Scores,score,All,Failing,2011,11
Science,SUBJ5,Standardized_Scores,score,All,Failing,2012,12
Science,SUBJ5,Standardized_Scores,score,All,Failing,2013,13
Science,SUBJ5,Standardized_Scores,score,All,Failing,2014,14
Science,SUBJ5,Standardized_Scores,score,All,Failing,2015,15
Science,SUBJ5,Standardized_Scores,score,All,Failing,2016,15
Science,SUBJ5,Standardized_Scores,score,All,Failing,2017,15
Science,SUBJ5,Standardized_Scores,score,All,Failing,2018,14
Science,SUBJ5,Standardized_Scores,score,All,Failing,2019,13
Science,SUBJ5,Standardized_Scores,score,All,Failing,2020,NA
Science,SUBJ5,Standardized_Scores,score,All,Failing,2021,17
Science,SUBJ5,Standardized_Scores,score,All,Failing,2022,16
Social Studies,SUBJ6,Standardized_Scores,score,All,Failing,1995,NA
Social Studies,SUBJ6,Standardized_Scores,score,All,Failing,1996,NA
Social Studies,SUBJ6,Standardized_Scores,score,All,Failing,1997,NA
Social Studies,SUBJ6,Standardized_Scores,score,All,Failing,1998,NA
Social Studies,SUBJ6,Standardized_Scores,score,All,Failing,1999,NA
Social Studies,SUBJ6,Standardized_Scores,score,All,Failing,2000,NA
Social Studies,SUBJ6,Standardized_Scores,score,All,Failing,2001,NA
Social Studies,SUBJ6,Standardized_Scores,score,All,Failing,2002,NA
Social Studies,SUBJ6,Standardized_Scores,score,All,Failing,2003,7
Social Studies,SUBJ6,Standardized_Scores,score,All,Failing,2004,5
Social Studies,SUBJ6,Standardized_Scores,score,All,Failing,2005,8
Social Studies,SUBJ6,Standardized_Scores,score,All,Failing,2006,8
Social Studies,SUBJ6,Standardized_Scores,score,All,Failing,2007,5
Social Studies,SUBJ6,Standardized_Scores,score,All,Failing,2008,6
Social Studies,SUBJ6,Standardized_Scores,score,All,Failing,2009,4
Social Studies,SUBJ6,Standardized_Scores,score,All,Failing,2010,3
Social Studies,SUBJ6,Standardized_Scores,score,All,Failing,2011,3
Social Studies,SUBJ6,Standardized_Scores,score,All,Failing,2012,15
Social Studies,SUBJ6,Standardized_Scores,score,All,Failing,2013,17
Social Studies,SUBJ6,Standardized_Scores,score,All,Failing,2014,13
Social Studies,SUBJ6,Standardized_Scores,score,All,Failing,2015,12
Social Studies,SUBJ6,Standardized_Scores,score,All,Failing,2016,11
Social Studies,SUBJ6,Standardized_Scores,score,All,Failing,2017,13
Social Studies,SUBJ6,Standardized_Scores,score,All,Failing,2018,12
Social Studies,SUBJ6,Standardized_Scores,score,All,Failing,2019,12
Social Studies,SUBJ6,Standardized_Scores,score,All,Failing,2020,NA
Social Studies,SUBJ6,Standardized_Scores,score,All,Failing,2021,13
Social Studies,SUBJ6,Standardized_Scores,score,All,Failing,2022,15
African American,E3,Standardized_Scores,score,All,Failing,1995,62
African American,E3,Standardized_Scores,score,All,Failing,1996,55.1
African American,E3,Standardized_Scores,score,All,Failing,1997,35.5
African American,E3,Standardized_Scores,score,All,Failing,1998,32.4
African American,E3,Standardized_Scores,score,All,Failing,1999,27.6
African American,E3,Standardized_Scores,score,All,Failing,2000,26.5
African American,E3,Standardized_Scores,score,All,Failing,2001,21.5
African American,E3,Standardized_Scores,score,All,Failing,2002,14.2
African American,E3,Standardized_Scores,score,All,Failing,2003,36.5
African American,E3,Standardized_Scores,score,All,Failing,2004,26
African American,E3,Standardized_Scores,score,All,Failing,2005,40
African American,E3,Standardized_Scores,score,All,Failing,2006,31
African American,E3,Standardized_Scores,score,All,Failing,2007,30
African American,E3,Standardized_Scores,score,All,Failing,2008,29
African American,E3,Standardized_Scores,score,All,Failing,2009,26
African American,E3,Standardized_Scores,score,All,Failing,2010,23
African American,E3,Standardized_Scores,score,All,Failing,2011,23
African American,E3,Standardized_Scores,score,All,Failing,2012,18
African American,E3,Standardized_Scores,score,All,Failing,2013,18
African American,E3,Standardized_Scores,score,All,Failing,2014,18
African American,E3,Standardized_Scores,score,All,Failing,2015,18
African American,E3,Standardized_Scores,score,All,Failing,2016,20
African American,E3,Standardized_Scores,score,All,Failing,2017,19
African American,E3,Standardized_Scores,score,All,Failing,2018,19
African American,E3,Standardized_Scores,score,All,Failing,2019,18
African American,E3,Standardized_Scores,score,All,Failing,2020,NA
African American,E3,Standardized_Scores,score,All,Failing,2021,25
African American,E3,Standardized_Scores,score,All,Failing,2022,23
Hispanic,E2,Standardized_Scores,score,All,Failing,1995,59.1
Hispanic,E2,Standardized_Scores,score,All,Failing,1996,49.7
Hispanic,E2,Standardized_Scores,score,All,Failing,1997,40.9
Hispanic,E2,Standardized_Scores,score,All,Failing,1998,34
Hispanic,E2,Standardized_Scores,score,All,Failing,1999,31
Hispanic,E2,Standardized_Scores,score,All,Failing,2000,24.4
Hispanic,E2,Standardized_Scores,score,All,Failing,2001,21.4
Hispanic,E2,Standardized_Scores,score,All,Failing,2002,14.6
Hispanic,E2,Standardized_Scores,score,All,Failing,2003,36.5
Hispanic,E2,Standardized_Scores,score,All,Failing,2004,31
Hispanic,E2,Standardized_Scores,score,All,Failing,2005,37
Hispanic,E2,Standardized_Scores,score,All,Failing,2006,29
Hispanic,E2,Standardized_Scores,score,All,Failing,2007,27
Hispanic,E2,Standardized_Scores,score,All,Failing,2008,26
Hispanic,E2,Standardized_Scores,score,All,Failing,2009,25
Hispanic,E2,Standardized_Scores,score,All,Failing,2010,23
Hispanic,E2,Standardized_Scores,score,All,Failing,2011,22
Hispanic,E2,Standardized_Scores,score,All,Failing,2012,20
Hispanic,E2,Standardized_Scores,score,All,Failing,2013,21
Hispanic,E2,Standardized_Scores,score,All,Failing,2014,20
Hispanic,E2,Standardized_Scores,score,All,Failing,2015,19
Hispanic,E2,Standardized_Scores,score,All,Failing,2016,21
Hispanic,E2,Standardized_Scores,score,All,Failing,2017,20
Hispanic,E2,Standardized_Scores,score,All,Failing,2018,18
Hispanic,E2,Standardized_Scores,score,All,Failing,2019,18
Hispanic,E2,Standardized_Scores,score,All,Failing,2020,NA
Hispanic,E2,Standardized_Scores,score,All,Failing,2021,25
Hispanic,E2,Standardized_Scores,score,All,Failing,2022,23
White,E1,Standardized_Scores,score,All,Failing,1995,33.7
White,E1,Standardized_Scores,score,All,Failing,1996,30.3
White,E1,Standardized_Scores,score,All,Failing,1997,20.5
White,E1,Standardized_Scores,score,All,Failing,1998,17.1
White,E1,Standardized_Scores,score,All,Failing,1999,18.4
White,E1,Standardized_Scores,score,All,Failing,2000,15.3
White,E1,Standardized_Scores,score,All,Failing,2001,12.6
White,E1,Standardized_Scores,score,All,Failing,2002,9.2
White,E1,Standardized_Scores,score,All,Failing,2003,22.8
White,E1,Standardized_Scores,score,All,Failing,2004,18
White,E1,Standardized_Scores,score,All,Failing,2005,24
White,E1,Standardized_Scores,score,All,Failing,2006,19
White,E1,Standardized_Scores,score,All,Failing,2007,16
White,E1,Standardized_Scores,score,All,Failing,2008,16
White,E1,Standardized_Scores,score,All,Failing,2009,13
White,E1,Standardized_Scores,score,All,Failing,2010,13
White,E1,Standardized_Scores,score,All,Failing,2011,14
White,E1,Standardized_Scores,score,All,Failing,2012,13
White,E1,Standardized_Scores,score,All,Failing,2013,14
White,E1,Standardized_Scores,score,All,Failing,2014,13
White,E1,Standardized_Scores,score,All,Failing,2015,13
White,E1,Standardized_Scores,score,All,Failing,2016,14
White,E1,Standardized_Scores,score,All,Failing,2017,13
White,E1,Standardized_Scores,score,All,Failing,2018,14
White,E1,Standardized_Scores,score,All,Failing,2019,15
White,E1,Standardized_Scores,score,All,Failing,2020,NA
White,E1,Standardized_Scores,score,All,Failing,2021,17
White,E1,Standardized_Scores,score,All,Failing,2022,16
American Indian,E4,Standardized_Scores,score,All,Failing,1995,NA
American Indian,E4,Standardized_Scores,score,All,Failing,1996,NA
American Indian,E4,Standardized_Scores,score,All,Failing,1997,NA
American Indian,E4,Standardized_Scores,score,All,Failing,1998,NA
American Indian,E4,Standardized_Scores,score,All,Failing,1999,NA
American Indian,E4,Standardized_Scores,score,All,Failing,2000,NA
American Indian,E4,Standardized_Scores,score,All,Failing,2001,NA
American Indian,E4,Standardized_Scores,score,All,Failing,2002,NA
American Indian,E4,Standardized_Scores,score,All,Failing,2003,NA
American Indian,E4,Standardized_Scores,score,All,Failing,2004,NA
American Indian,E4,Standardized_Scores,score,All,Failing,2005,NA
American Indian,E4,Standardized_Scores,score,All,Failing,2006,NA
American Indian,E4,Standardized_Scores,score,All,Failing,2007,NA
American Indian,E4,Standardized_Scores,score,All,Failing,2008,NA
American Indian,E4,Standardized_Scores,score,All,Failing,2009,NA
American Indian,E4,Standardized_Scores,score,All,Failing,2010,NA
American Indian,E4,Standardized_Scores,score,All,Failing,2011,NA
American Indian,E4,Standardized_Scores,score,All,Failing,2012,12
American Indian,E4,Standardized_Scores,score,All,Failing,2013,12
American Indian,E4,Standardized_Scores,score,All,Failing,2014,12
American Indian,E4,Standardized_Scores,score,All,Failing,2015,6
American Indian,E4,Standardized_Scores,score,All,Failing,2016,11
American Indian,E4,Standardized_Scores,score,All,Failing,2017,7
American Indian,E4,Standardized_Scores,score,All,Failing,2018,11
American Indian,E4,Standardized_Scores,score,All,Failing,2019,6
American Indian,E4,Standardized_Scores,score,All,Failing,2020,NA
American Indian,E4,Standardized_Scores,score,All,Failing,2021,20
American Indian,E4,Standardized_Scores,score,All,Failing,2022,9
Asian,E5,Standardized_Scores,score,All,Failing,1995,NA
Asian,E5,Standardized_Scores,score,All,Failing,1996,NA
Asian,E5,Standardized_Scores,score,All,Failing,1997,NA
Asian,E5,Standardized_Scores,score,All,Failing,1998,NA
Asian,E5,Standardized_Scores,score,All,Failing,1999,NA
Asian,E5,Standardized_Scores,score,All,Failing,2000,NA
Asian,E5,Standardized_Scores,score,All,Failing,2001,NA
Asian,E5,Standardized_Scores,score,All,Failing,2002,NA
Asian,E5,Standardized_Scores,score,All,Failing,2003,NA
Asian,E5,Standardized_Scores,score,All,Failing,2004,NA
Asian,E5,Standardized_Scores,score,All,Failing,2005,NA
Asian,E5,Standardized_Scores,score,All,Failing,2006,NA
Asian,E5,Standardized_Scores,score,All,Failing,2007,NA
Asian,E5,Standardized_Scores,score,All,Failing,2008,NA
Asian,E5,Standardized_Scores,score,All,Failing,2009,NA
Asian,E5,Standardized_Scores,score,All,Failing,2010,NA
Asian,E5,Standardized_Scores,score,All,Failing,2011,NA
Asian,E5,Standardized_Scores,score,All,Failing,2012,6
Asian,E5,Standardized_Scores,score,All,Failing,2013,7
Asian,E5,Standardized_Scores,score,All,Failing,2014,9
Asian,E5,Standardized_Scores,score,All,Failing,2015,13
Asian,E5,Standardized_Scores,score,All,Failing,2016,12
Asian,E5,Standardized_Scores,score,All,Failing,2017,10
Asian,E5,Standardized_Scores,score,All,Failing,2018,8
Asian,E5,Standardized_Scores,score,All,Failing,2019,10
Asian,E5,Standardized_Scores,score,All,Failing,2020,NA
Asian,E5,Standardized_Scores,score,All,Failing,2021,12
Asian,E5,Standardized_Scores,score,All,Failing,2022,7
Pacific Islander,E6,Standardized_Scores,score,All,Failing,1995,NA
Pacific Islander,E6,Standardized_Scores,score,All,Failing,1996,NA
Pacific Islander,E6,Standardized_Scores,score,All,Failing,1997,NA
Pacific Islander,E6,Standardized_Scores,score,All,Failing,1998,NA
